ID,Fallow_yr1,Fallow_yr2,Fallow_yr3,wealth,hheducation,adults,ethnicity,hhgender
EK139,No,No,No,0.83,primary2,2,Other,Male
EK138,No,No,No,0.24,none,1,Other,Male
EK137,No,No,No,0.83,primary2,4,Other,Male
EK145,No,No,No,0.475,primary1,4,Other,Male
EK023,No,No,No,0.83,primary2,2,Other,Male
EK006,No,No,No,0.36,none,3,Other,Male
EK007,No,No,No,0.555,primary2,4,Other,Male
EK011,No,No,No,0.555,primary2,2,Other,Male
EK012,No,No,No,1.155,primary2,6+,Other,Male
EK013,No,No,No,0.79,none,3,Other,Female
EK014,No,No,No,0.555,primary2,3,Other,Male
EK019,No,No,No,1.07,primary2,3,Other,Male
EK005,Yes,No,No,0.75,primary1,2,Other,Male
EK021,No,No,No,3.075,primary1,3,Other,Male
EK027,No,No,No,1.07,primary2,2,Other,Male
EK024,No,No,No,0.915,primary2,3,Other,Female
EK025,No,No,No,1.11,primary1,2,Other,Male
EK026,No,No,No,1.07,primary2,3,Other,Male
EK114,No,No,No,3.19,primary2,2,Other,Male
EK028,No,No,No,0.915,primary2,3,Other,Male
EK134,No,No,Yes,0.83,primary2,2,Other,Male
EK029,No,No,No,0.715,primary1,4,Other,Male
EK111,No,No,No,2.915,primary2,5,Other,Male
EK112,No,No,No,0.475,primary1,1,Other,Female
EK108,No,No,No,0.99,primary1,2,Other,Female
EK107,No,No,No,0.83,primary2,1,Other,Female
EK106,No,No,No,1.19,secondary,1,Other,Male
EK105,No,No,No,0.835,primary1,1,Other,Female
EK103,No,No,No,0.475,primary1,1,Other,Female
EK004,Yes,No,No,2.94,primary2,3,Other,Male
EK101,No,No,No,0.835,primary1,3,Other,Male
EK100,No,No,No,0.79,none,1,Other,Male
EK001,Yes,No,No,2.7,secondary,2,Other,Male
EK002,Yes,No,No,0.2,primary1,3,Other,Male
EK003,No,No,No,1.1,primary1,6+,Other,Male
EK113,No,No,No,0.475,primary1,2,Other,Male
EK102,No,No,No,0.275,none,2,Other,Female
EU138,No,No,No,0.91,none,5,Other,Female
EU130,No,No,No,3.66,secondary,4,Other,Male
EU132,No,No,No,3.135,primary1,3,Other,Male
EU133,No,No,No,1.07,primary2,4,Other,Male
EU134,No,No,Yes,0.75,primary1,2,Other,Male
EU135,No,No,No,0.555,primary2,2,Other,Male
EU144,No,No,No,3.245,primary2,2,Other,Male
EU142,No,No,No,3.55,secondary,2,Other,Male
EU139,No,No,No,0.95,secondary,2,Other,Male
EU140,No,No,No,0.83,primary2,2,Other,Male
EU141,No,No,No,1.07,primary2,2,Other,Male
EU117,No,No,No,0.75,primary1,1,Other,Female
EU129,No,No,No,2.95,secondary,2,Other,Male
EU137,No,No,No,2.835,primary1,1,Other,Female
EU118,No,No,No,3.07,primary2,2,Other,Female
